RefSeqID	Symbol	NbOfExons	8N	8T	33N	33T	51N	51T
NM_018993	RIN2	11	737	806	653	1485	2777	1901
NM_001099696	REPIN1	2	580	635	378	691	1470	312
NR_002986	SNORA60	1	288	314	2260	1185	886	871
NM_024482	GMEB1	10	66	72	84	153	187	168
NM_144579	SFXN5	14	331	361	219	680	644	506
NM_001037811	HSD17B10	6	244	267	208	489	399	334
NM_018133	MSL2	2	499	546	565	851	980	1240
NM_178040	ERC1	19	1181	1287	1126	1654	2135	2701
NM_015627	LDLRAP1	9	332	363	290	429	587	679
NM_001009184	GRINA	7	663	727	575	775	1695	1764
NM_032986	SEC23B	20	503	550	472	1071	883	611
NM_003021	SGTA	12	381	416	266	488	945	383
NM_207672	GRIPAP1	20	333	363	352	863	823	609
NM_175573	ADRM1	10	579	634	384	1262	1412	1125
NM_017454	STAU1	12	832	911	637	1062	1442	1265
NM_004602	STAU1	14	838	918	646	1095	1473	1291
NM_017452	STAU1	13	838	918	646	1095	1473	1291
NM_001130849	CAB39	9	1047	1148	1090	1177	2658	3203
NM_017754	UHRF1BP1	21	461	504	366	1129	1382	1057
NM_003591	CUL2	21	166	182	287	271	419	481
NM_015412	C3orf17	9	282	308	368	575	683	764
NR_002434	SNORD101	1	637	415	714	1526	1822	1732
NM_005955	MTF1	11	848	622	496	800	1323	1252
NM_001521	GTF3C2	20	618	627	566	1025	1354	1282
NM_139055	ADAMTS15	8	61	13	30	111	234	222
NM_001688	ATP5F1	7	96	123	122	30	186	176
NM_015316	PPP1R13B	17	399	383	439	725	632	600
NM_006449	CDC42EP3	2	208	131	206	349	693	658
NM_003203	C2orf3	17	155	90	220	446	282	267
NM_198976	TH1L	15	280	216	365	670	586	554
NM_024031	PRR14	12	200	263	230	351	335	317
NM_001002258	ATP5G3	4	929	1378	1522	1251	1099	1039
NM_014248	RBX1	5	165	236	276	291	511	484
NM_006881	MDM2	8	231	421	436	587	653	620
NM_145261	DNAJC19	6	35	98	45	59	112	106
NM_024010	MTRR	15	286	309	265	512	653	618
NM_002454	MTRR	15	286	309	265	512	654	620
NM_017877	C2orf18	6	1099	789	1068	1969	2230	2116
NM_021633	KLHL12	12	167	102	143	354	378	358
NM_032222	FLJ22374	18	112	88	100	179	170	161
NM_005216	DDOST	11	693	1232	611	958	2248	2128
NM_022456	RAB3IP	11	177	146	148	291	326	308
NM_015050	FTSJD2	24	507	420	450	755	1134	1073
NM_020383	XPNPEP1	21	461	276	388	1023	1155	1091
NM_005156	ROD1	15	2838	1782	3353	5354	4556	7167
NM_001013842	C8orf58	7	82	162	90	144	208	113
NM_002855	PVRL1	6	4967	2789	2654	4236	4732	11451
NM_133644	GTPBP3	8	146	266	133	212	332	229
NM_000286	PEX12	3	74	60	103	165	93	144
NM_000291	PGK1	11	903	1200	1189	1899	1974	1860
NM_020908	TLE3	20	1203	1390	897	1431	2626	2051
NM_020336	KIAA1219	30	1076	1413	1251	1995	2677	2492
NM_001105192	TLE3	20	1243	1432	909	1447	2670	2087
NM_005078	TLE3	20	1245	1438	909	1447	2671	2090
NM_003798	CTNNAL1	19	157	63	192	307	192	194
NM_015477	SIN3A	21	521	297	591	945	1259	1321
NM_014480	ZNF544	7	176	184	264	422	362	566
NM_006384	CIB1	7	302	254	317	506	627	818
NM_145644	MRPL35	5	85	98	77	123	210	97
NM_182649	PCNA	6	147	280	254	405	287	227
NM_201554	DGKA	24	695	317	757	1210	1028	1415
NM_201445	DGKA	25	708	317	761	1218	1033	1442
NM_001005743	NUMB	13	435	415	612	978	1346	1343
NM_003744	NUMB	12	435	415	612	978	1346	1343
NM_015317	PUM2	20	1619	1051	1884	3009	3306	3644
NM_020800	IFT80	20	251	127	342	546	487	550
NM_022727	TRMT2A	12	276	461	315	504	701	624
NM_006923	SDF2	3	83	45	60	96	219	228
NM_020122	KCMF1	7	453	510	439	700	1067	908
NM_018890	RAC1	7	589	490	858	1366	1733	1713
NM_006908	RAC1	6	560	479	854	1360	1717	1704
NM_198829	RAC1	7	560	479	854	1365	1717	1705
NM_173079	RUNDC1	5	231	301	210	336	538	456
NM_015219	EXOC7	18	1093	1208	1007	1602	2795	2498
NM_016219	MAN1B1	13	275	201	487	778	1092	1063
NM_001024845	SLC6A9	14	174	192	231	346	306	299
NM_017451	BAIAP2	15	422	463	438	405	406	459
NM_003980	MAP7	18	478	527	495	628	282	994
NM_022491	SUDS3	12	554	612	472	754	974	1084
NM_006453	TBL3	22	296	326	159	322	580	503
NM_018301	RBM41	7	128	141	183	273	228	349
NM_134442	CREB1	9	299	330	431	592	725	699
NM_004379	CREB1	8	298	327	419	591	724	689
NM_001113182	BRD2	13	1371	1512	1685	2854	3035	2437
NM_052859	RFT1	13	131	144	133	276	344	184
NM_170719	C13orf23	12	289	319	317	435	544	544
NM_005206	CRK	3	428	470	285	642	1297	1130
NM_032221	CHD6	37	671	740	1014	1076	1502	1462
NM_032569	N-PAC	16	646	713	659	1150	1687	1460
NM_032985	SEC23B	20	517	570	494	1081	924	626
NM_006363	SEC23B	20	513	563	494	1076	920	622
NM_001002800	SMC4	24	569	626	895	1287	703	954
NM_001098632	AKT1S1	5	220	242	156	263	786	490
NM_001017395	TMCC1	7	511	563	459	578	1302	2172
NM_138793	CANT1	4	534	586	477	564	1493	1565
NM_005706	TSSC4	2	143	158	81	188	401	341
NM_001630	ANXA8L2	12	59	65	150	162	67	189
NM_001006945	C1orf103	3	80	88	112	18	166	370
NM_018155	SLC25A36	7	427	469	645	538	1083	1134
NM_001037328	STAU1	14	838	922	647	1103	1482	1292
NM_053053	TADA1L	8	121	133	200	170	219	231
NM_001104647	SLC25A36	7	427	469	645	538	1083	1134
NM_032815	NFATC2IP	8	348	384	375	772	1155	989
NM_138736	GNAO1	8	60	66	50	109	269	151
NM_015137	EFR3A	23	867	953	1067	1577	2103	4891
NM_007113	TCHH	2	327	3	559	958	63	60
NM_003247	THBS2	23	915	530	794	4046	7678	7340
NM_138376	TTC5	10	82	104	122	163	204	195
NM_001135775	C9orf7	4	170	102	114	238	387	370
NM_032377	ELOF1	4	106	162	97	152	213	203
NM_001011713	NAT12	5	250	234	316	516	785	747
NM_022130	GOLPH3	4	403	383	554	1027	1264	1205
NM_001009993	FAM168B	7	1032	1121	1025	2028	2606	2495
NM_001099737	MORG1	11	21	55	52	66	83	79
NM_016001	UTP18	14	178	495	199	251	380	363
NR_002575	SNORA27	1	112	290	3733	993	1088	1037
NM_054016	FUSIP1	6	198	254	276	357	556	530
NM_181837	ORC3L	20	72	82	173	203	229	218
NM_012381	ORC3L	20	72	82	173	203	229	218
NM_004618	TOP3A	19	286	211	199	781	783	749
NM_003971	SPAG9	29	1522	1748	1540	1677	4563	4348
NM_001130528	SPAG9	30	1522	1748	1543	1677	4565	4349
NM_001130009	GEN1	14	271	246	565	934	614	584
NM_018383	WDR33	22	362	463	676	517	859	822
NM_182625	GEN1	14	267	236	554	931	602	576
NM_017908	ZNF446	7	32	57	76	45	142	135
NM_033220	TRIM14	7	130	47	80	158	147	140
NM_033219	TRIM14	7	147	48	87	178	172	164
NM_001002000	GMPR2	10	258	144	310	507	681	649
NM_024111	CHAC1	3	48	97	169	79	190	181
NM_006284	TAF10	5	191	82	195	314	378	361
NM_173632	ZNF776	2	135	163	176	156	373	357
NM_181836	TMED7	3	483	790	594	669	1479	1412
NM_005008	NHP2L1	3	273	292	304	891	683	653
NM_153816	SNX14	29	432	504	772	712	1477	1405
NM_020468	SNX14	26	432	486	764	695	1444	1380
NM_178819	AGPAT6	13	344	290	357	591	1283	1228
NM_000090	COL3A1	51	10172	53998	19764	31726	579929	119797
NM_014574	STRN3	16	639	938	659	1057	2289	1310
NM_203355	CTAGE5	23	85	63	113	182	188	201
NM_173791	PDZD8	5	717	387	466	749	1034	1340
NM_018848	MKKS	6	187	252	264	425	452	369
NM_001033	RRM1	19	738	564	829	1333	1149	1766
NM_152854	CD40	8	97	122	75	121	342	132
NM_198270	NHS	8	248	417	325	522	468	388
NM_018109	PAPD1	9	322	322	334	537	531	591
NM_006805	HNRNPA0	1	1216	1480	861	1379	2019	1068
NM_003193	TBCE	17	108	149	101	163	251	231
NM_022079	HERC4	26	414	257	494	793	1132	1197
NM_015601	HERC4	25	414	257	494	793	1132	1197
NM_002592	PCNA	7	137	269	242	388	253	209
NM_006047	RBM12	3	928	887	971	1556	1941	1970
NM_001008800	CCT3	12	966	867	914	1464	1600	2033
NM_033340	CASP7	8	163	106	144	231	492	595
NM_001136542	ACAD10	18	175	248	273	440	576	311
NM_002660	PLCG1	32	721	1026	683	1097	2308	1687
NM_182811	PLCG1	32	721	1026	683	1097	2307	1686
NM_019063	EML4	23	726	562	879	1414	1751	1715
NM_033407	DOCK7	49	365	274	442	709	781	983
NM_005401	PTPN14	19	449	376	397	639	714	900
NM_004092	ECHS1	8	236	377	323	518	417	331
NM_152608	C1orf55	7	336	331	280	449	641	785
NM_007212	RNF2	7	69	12	83	134	232	313
NM_019004	ANKIB1	20	671	542	807	1295	1586	2861
NM_182692	SRPK2	16	246	219	383	617	739	1509
NM_032520	GNPTG	11	123	196	167	269	582	344
NM_013282	UHRF1	16	58	198	45	73	177	92
NM_198963	DHX57	24	250	217	302	484	708	838
NM_006128	BMP1	17	204	227	196	519	1981	1042
NM_001134415	TBCCD1	8	91	101	192	339	323	234
NM_002225	IVD	12	110	122	96	284	529	102
NR_023392	ZNF252	5	169	187	200	151	402	577
NM_002158	FOXN2	7	356	395	538	1307	892	714
NM_015210	KIAA0802	17	386	427	324	2624	558	467
