RefSeqID	Symbol	NbOfExons	8N	8T	33N	33T	51N	51T
NM_182502	TMPRSS11B	10	2592	3	7805	321	3372	9
NM_003280	TNNC1	6	1684	0	1787	7	4894	559
NM_152381	XIRP2	10	9915	15	10396	48	23309	7181
NM_022438	MAL	3	2496	2	3585	239	1596	7
NM_001100112	MYH2	40	4389	7	7944	16	9262	1818
NM_017534	MYH2	40	4402	7	7943	16	9244	1815
NM_002371	MAL	4	2697	3	3941	265	1750	8
NM_001231	CASQ1	11	519	0	857	3	833	83
NM_001010909	MUC21	3	4160	7	3425	516	1720	5
NM_022440	MAL	2	2073	1	2937	96	1351	7
NM_022439	MAL	3	2274	2	3293	122	1505	8
NM_016190	CRNN	3	24146	49	22026	2353	12480	26
NM_002465	MYBPC1	32	4809	10	4146	14	15623	1311
NM_206819	MYBPC1	31	4804	10	4137	14	15594	1310
NM_206821	MYBPC1	29	4762	10	4110	14	15391	1301
NM_206820	MYBPC1	30	4765	10	4115	14	15408	1302
NM_001079810	XIRP2	9	1834	3	2018	15	4911	1482
NM_014332	SMPX	5	406	0	688	3	2347	318
NM_005181	CA3	7	1840	1	4180	35	552	72
NM_198060	NRAP	42	3741	4	1990	17	12531	1829
NM_006175	NRAP	41	3708	4	1980	17	12438	1817
NM_000257	MYH7	40	3118	8	3767	21	4001	724
NM_032578	MYPN	20	679	1	656	3	3256	321
NM_203378	MB	4	4114	6	6544	59	11279	1487
NM_203377	MB	4	4064	6	6496	59	11227	1472
NM_005368	MB	3	4210	6	6700	61	11738	1532
NM_001100	ACTA1	7	3334	8	3198	32	13643	1063
NM_003063	SLN	2	532	1	1022	6	1384	200
NM_001122853	MYOZ3	7	257	0	223	1	559	83
NM_133371	MYOZ3	7	247	0	212	1	531	82
NM_207163	LMOD2	3	449	1	1032	4	2138	272
NM_032546	TRIM54	10	221	0	122	0	958	81
NM_187841	TRIM54	9	219	0	119	0	957	79
NM_133432	TTN	192	250473	913	159874	2383	1285719	146074
NM_133437	TTN	192	250494	913	159876	2384	1285686	146088
NM_003319	TTN	191	250461	913	159869	2383	1285565	146070
NM_015848	KRT76	9	5919	26	1902	160	285	6
NM_145244	DDIT4L	3	432	1	935	6	1005	227
NM_014391	ANKRD1	9	1207	4	790	11	4508	743
NM_002272	KRT4	9	76461	353	99082	20651	47411	31
NM_133378	TTN	312	328503	1204	206612	3178	1675945	191624
NM_198274	SMYD1	10	490	0	511	7	1419	149
NM_003476	CSRP3	6	636	2	673	8	4733	424
NM_153235	TXLNB	10	393	0	371	5	1848	211
NM_181839	PKIA	3	318	0	412	6	1400	131
NM_006823	PKIA	4	318	0	414	6	1401	134
NM_014424	HSPB7	3	608	2	579	2	2871	397
NM_002612	PDK4	11	1992	9	356	43	8449	273
NM_007078	LDB3	13	1492	3	1297	26	2742	228
NM_001976	ENO3	12	1092	4	1292	74	4841	223
NM_053013	ENO3	12	1085	4	1287	74	4832	223
NM_006890	CEACAM7	5	186	0	108	12	308	0
NM_005609	PYGM	20	1399	22	1267	16	2171	103
NM_001099736	CKMT2	10	358	1	366	7	1666	97
NM_001825	CKMT2	11	358	1	366	7	1665	97
NM_133379	TTN	46	44904	249	28732	470	235154	25868
NM_001099735	CKMT2	10	357	1	366	7	1665	97
NM_014440	IL1F6	4	367	10	1824	45	802	1
NM_006063	KBTBD10	6	4325	24	3115	17	16007	1461
NM_002274	KRT13	7	393738	2291	359600	106047	211895	1833
NM_153490	KRT13	8	393801	2291	359693	106059	211919	1833
NM_002469	MYF6	3	168	0	157	0	1004	130
NM_001080426	DUSP27	5	336	1	262	2	1600	202
NM_001122965	RPTN	3	894	1	693	18	675	81
NM_001111285	IGF1	4	100	11	107	2	1010	38
NM_006073	TRDN	41	1326	7	1785	9	4646	637
NM_144617	HSPB6	3	2207	11	1496	44	3597	325
NM_004533	MYBPC2	28	966	11	486	6	8045	457
NM_173167	UNC45B	20	329	0	381	11	1751	145
NM_001033576	UNC45B	20	329	0	381	11	1751	145
NM_001080115	LDB3	7	432	1	351	10	834	63
NM_199459	C10orf71	4	333	1	220	6	975	167
NM_153020	RBM24	3	287	1	370	5	1254	200
NM_001080114	LDB3	13	1616	11	1411	20	2839	230
NM_198271	LMOD3	3	399	2	396	0	1138	140
NM_013353	TMOD4	10	149	0	115	3	629	76
NM_057088	KRT3	9	1069	7	3774	358	885	5
NM_001103	ACTN2	21	1460	10	1495	24	6789	785
NM_001040709	SYPL2	6	234	0	171	5	734	80
NM_177531	PKHD1L1	78	50	0	51	0	192	11
NM_001712	CEACAM1	9	394	2	220	88	278	13
NM_001024912	CEACAM1	8	392	2	220	87	277	13
NM_016300	ARPP-21	20	302	0	194	6	738	96
NM_001159	AOX1	35	252	1	117	45	2019	56
NM_007191	WIF1	10	80	41	208	7	76	2
NM_001460	FMO2	10	887	4	2007	157	1175	75
NM_001858	COL19A1	51	78	5	928	10	765	49
NM_173629	C18orf26	3	233	1	214	28	237	0
NM_015429	ABI3BP	35	348	2	322	31	2763	104
NM_004543	NEB	149	33001	284	29456	305	126265	18235
NM_004734	DCLK1	18	166	0	375	38	2033	136
NM_002016	FLG	3	343	91	3180	134	713	0
NM_003275	TMOD1	9	220	1	254	2	1733	221
NM_080874	ASB5	7	424	0	489	20	4276	380
NM_001039585	PTGFR	4	455	7	287	12	1736	46
NM_004997	MYBPH	11	257	34	545	16	7098	489
NM_000959	PTGFR	3	455	7	283	12	1735	45
NM_194293	XIRP1	2	1177	6	474	21	2844	442
NM_000069	CACNA1S	44	423	3	684	8	1813	216
NM_001080116	LDB3	8	564	9	480	4	975	67
NM_152393	KBTBD5	6	105	0	142	1	538	75
NM_004320	ATP2A1	23	988	25	1558	52	2285	161
NM_173201	ATP2A1	22	978	25	1552	52	2265	161
NM_138430	ADPRHL1	7	149	0	169	7	163	58
NM_001927	DES	9	9583	91	6706	142	83497	6658
NM_002036	DARC	2	582	5	94	21	1053	52
NM_006025	P11	9	582	5	868	73	456	28
NM_001232	CASQ2	11	561	5	949	23	3772	599
NM_000347	SPTB	31	2275	31	824	43	12290	876
NM_001024858	SPTB	35	2958	31	999	131	15499	1121
NM_172113	EYA2	16	208	0	149	7	126	51
NM_152451	GCOM1	12	270	8	732	36	489	35
NM_172111	EYA2	16	209	0	144	7	124	52
NM_002084	GPX3	5	1756	19	1481	160	4981	253
NM_172112	EYA2	16	209	0	143	7	124	51
NM_005244	EYA2	16	208	0	143	7	125	51
NM_001018100	GCOM1	13	273	8	735	36	490	36
NM_007351	MMRN1	8	200	9	74	2	483	36
NM_001122951	DARC	1	512	5	84	20	938	41
NM_003970	MYOM2	37	219	0	295	30	1168	90
NM_003282	TNNI2	6	361	1	770	44	1548	139
NM_152380	TBX15	8	242	0	184	10	1204	207
NM_001114974	SMTNL2	8	264	13	132	7	1107	62
NM_182493	MYLK3	13	330	12	204	2	287	22
NM_000334	SCN4A	24	491	1	228	16	1614	128
NM_024025	DUSP26	4	84	0	122	0	454	51
NM_172110	EYA2	16	195	0	128	7	124	50
NM_198501	SMTNL2	8	239	13	126	7	1048	58
NM_153610	CMYA5	13	6518	77	4615	166	29197	5087
NM_032735	BEST3	10	157	4	102	2	1572	126
NM_079422	MYL1	7	1317	15	2514	12	3854	479
NM_024875	SYNPO2L	2	431	1	823	53	2533	306
NM_007356	LAMB4	34	491	5	1304	129	291	13
NM_001114133	SYNPO2L	4	504	1	944	62	2963	381
NM_000615	NCAM1	18	174	1	177	11	1273	187
NM_181351	NCAM1	19	174	1	177	11	1273	187
NM_020297	ABCC9	38	462	51	383	24	2927	238
NM_001128933	SYNPO2	4	4721	57	4452	154	30427	4030
NM_002725	PRELP	3	450	2	190	41	597	48
NM_007168	ABCA8	38	482	25	418	29	1760	110
NM_079420	MYL1	7	1281	15	2499	12	3505	469
NM_019060	CRCT1	2	1166	170	4494	334	1499	102
NM_001114086	CLIC5	6	469	7	274	0	1361	113
NM_001128934	SYNPO2	5	2696	34	2170	76	15941	2017
NM_145791	MGST1	4	152	1	494	143	200	5
NM_133477	SYNPO2	5	2742	35	2278	81	15718	1960
NM_201348	PRELP	3	447	2	183	40	570	47
NM_138805	FAM3D	10	343	22	152	11	278	0
NM_003673	TCAP	2	3626	47	2499	36	5782	1188
NM_145764	MGST1	4	150	1	492	143	192	5
NM_145792	MGST1	4	150	1	492	143	192	5
NM_001111283	IGF1	5	460	25	343	26	4703	257
NM_000618	IGF1	4	460	25	343	26	4691	257
NM_145064	STAC3	12	675	8	651	46	3148	293
NM_020844	C8orf79	5	143	1	237	42	521	42
NM_001018116	MURC	2	282	3	352	19	2015	210
NM_001127699	SPINK5	28	7900	827	10375	882	4985	107
NM_017933	PID1	4	62	20	58	4	303	17
NM_024557	RIC3	6	87	0	129	24	163	13
NM_015225	PRUNE2	19	1396	19	2463	72	18565	2009
NM_001080400	KIAA1881	6	557	7	239	139	1146	30
NM_001098814	SRL	6	824	11	654	38	2097	198
NM_000697	ALOX12	14	380	318	2860	243	643	5
NM_001449	FHL1	7	4230	61	4381	206	17928	1673
NM_033439	IL33	7	701	7	311	84	872	74
NM_003281	TNNI1	8	2480	36	1859	47	12158	1598
NM_000427	LOR	2	262	1693	79	6	88	1
NM_019105	TNXB	44	1655	24	1985	184	5707	317
NM_001647	APOD	5	322	0	273	23	503	76
NM_001127698	SPINK5	34	10209	923	14029	1225	6474	130
NM_006846	SPINK5	33	10119	923	13910	1213	6380	127
NM_016929	CLIC5	6	481	7	283	0	1406	121
NM_001042	SLC2A4	11	250	1	137	13	344	29
NM_001099677	C8orf79	2	130	1	204	34	491	40
NM_000727	CACNG1	4	64	0	91	0	338	62
NM_001008539	SLC7A2	11	555	8	550	401	2368	173
NM_001100818	PID1	3	58	20	56	4	268	17
NM_001111284	IGF1	4	431	25	303	26	4374	243
NM_152336	AGBL1	24	122	1	90	0	622	83
NM_006757	TNNT3	16	1123	60	3973	102	9075	802
NM_001042782	TNNT3	15	1123	60	3973	102	9068	802
NM_001042781	TNNT3	16	1123	60	3973	102	9068	802
NM_005691	ABCC9	38	372	17	317	24	2320	204
NM_003046	SLC7A2	12	547	8	566	392	2377	175
NM_000702	ATP1A2	23	1148	18	1129	46	3323	443
NM_001042780	TNNT3	15	1114	60	3932	102	8957	798
NM_020298	ABCC9	37	365	17	313	24	2282	203
NM_178233	OTOP3	7	119	1	113	62	97	0
NM_001005746	CACNB4	14	123	1	178	31	100	8
NM_003005	SELP	17	122	1	85	7	676	70
NM_000900	MGP	4	130	0	168	15	611	155
NM_001958	EEF1A2	8	378	23	492	27	2032	181
NM_000726	CACNB4	14	120	1	178	31	99	8
NM_005963	MYH1	40	286	4	1723	16	4336	627
NM_001135196	C10orf71	3	506	8	355	13	1634	252
NM_001830	CLCN4	13	136	0	113	10	463	138
NM_024574	C4orf31	4	145	1	102	9	140	37
NM_144777	SCEL	33	3912	263	7393	701	2361	216
NM_080282	ABCA10	40	276	1	517	50	747	113
NM_031469	SH3BGRL2	4	881	41	1241	74	1071	98
NM_003843	SCEL	32	3895	263	7259	695	2326	215
NM_020379	MAN1C1	12	116	1	105	68	333	30
NM_138569	C6orf142	13	97	1	116	1	322	38
NM_003012	SFRP1	3	1309	8	992	100	3116	648
NM_003248	THBS4	23	1107	22	2949	301	9704	1799
NM_014031	SLC27A6	11	156	1	465	47	73	7
NM_025170	PREX2	24	143	2	223	14	634	106
NM_014476	PDLIM3	8	1891	39	1996	66	10018	1136
NM_173352	KRT78	9	3408	166	6158	653	3224	82
NM_001039523	CHRNA1	10	93	1	481	9	1415	136
NM_000079	CHRNA1	9	93	1	481	9	1396	136
NM_003613	CILP	9	515	0	395	42	1018	253
NM_014289	CAPN6	13	194	0	288	47	263	24
NM_033427	CTTNBP2	23	741	5	1074	226	389	36
NM_001458	FLNC	48	5275	117	3185	146	36866	3700
NM_001127487	FLNC	47	5274	117	3185	146	36836	3697
NM_014951	ZNF365	5	93	1	531	57	421	218
NM_001148	ANK2	46	574	12	578	143	2457	146
NM_000150	FUT6	3	306	6	213	46	223	6
NM_007365	PADI2	16	976	23	1038	31	5429	522
NM_013999	MEOX1	2	89	62	121	9	518	49
NM_015687	FILIP1	6	173	10	230	25	1242	113
NM_001127493	ANK2	47	475	10	438	92	2080	116
NM_001003793	RBMS3	15	172	3	105	9	459	130
NM_000901	NR3C2	9	171	1	167	18	265	58
NM_005060	RORC	11	172	3	119	69	367	20
NM_006790	MYOT	10	769	17	626	4	2205	387
NM_020977	ANK2	45	472	10	438	92	2086	114
NM_002825	PTN	5	256	5	504	177	70	2
NM_153236	GIMAP7	2	63	3	87	2	289	27
NM_199168	CXCL12	3	545	23	685	80	3967	311
NM_152439	BEST3	6	128	4	64	0	1094	106
NM_001040002	MEOX1	4	88	62	122	11	521	50
NM_133265	AMOT	12	786	2	551	64	2275	298
NM_012464	TLL1	21	127	2	68	3	224	426
NM_001017372	SLC27A6	10	161	1	489	57	79	7
NM_001001523	RORC	10	168	3	118	68	364	21
NM_001003792	RBMS3	14	166	3	102	9	440	129
NM_001113490	AMOT	11	842	1	554	66	2386	312
NM_173833	SCARA5	9	242	5	181	16	1151	159
NM_002479	MYOG	3	201	4	307	10	2715	301
NM_004527	MEOX1	3	90	62	124	12	528	52
NM_000949	PRLR	10	239	5	234	20	129	44
NM_024721	ZFHX4	11	275	1	287	35	690	349
NM_001040701	FUT6	2	271	6	209	43	200	6
NM_006639	CYSLTR1	3	160	0	63	7	54	17
NM_001122659	EDNRB	7	114	2	58	10	808	58
NM_032866	CGNL1	19	843	21	1106	97	909	106
NM_001042723	RYR1	105	3067	129	3337	287	20564	2086
NM_000540	RYR1	106	3067	129	3337	287	20564	2086
NM_130759	GIMAP1	3	58	2	67	3	294	29
NM_005276	GPD1	8	185	5	177	22	258	20
NM_001130861	CLDN5	1	222	5	84	23	998	76
NM_001364	DLG2	23	79	1	92	11	106	16
NM_001097589	SPRR3	2	41641	1131	48450	7733	30857	45
NM_001135109	RIC3	2	75	0	114	20	135	13
NM_001005747	CACNB4	13	121	1	182	34	95	9
NM_002343	LTF	17	182	4	109	48	488	21
NM_005416	SPRR3	3	41809	1155	49781	8036	31185	45
NM_001113561	RNF180	8	99	1	133	17	152	52
NM_003277	CLDN5	2	215	5	81	23	983	75
NM_002152	HRC	6	175	16	217	1	806	84
NM_015204	THSD7A	27	104	2	72	24	460	45
NM_014483	RBMS3	13	149	2	72	9	339	102
NM_001129907	FLJ41562	4	405	11	903	138	247	3
NM_001135940	MYOT	10	598	17	440	3	1652	285
NM_198215	FAM13C1	14	173	1	211	29	339	56
NM_004006	DMD	79	1367	28	1316	186	5731	1026
NM_006210	PEG3	10	150	15	2594	367	1223	66
NM_015278	SASH1	20	1818	123	2423	342	3316	309
NM_001114107	PDLIM3	7	1302	39	1559	75	8322	887
NM_015086	DDN	2	154	1	100	23	1999	213
NM_003568	ANXA9	14	124	14	90	12	70	5
NM_000336	SCNN1B	13	170	115	363	51	275	5
NM_001025231	KPRP	2	211	16	928	133	442	16
NM_000450	SELE	14	390	10	312	78	2049	219
NM_020478	ANK1	5	173	78	247	35	493	51
NM_080284	ABCA6	39	384	19	366	52	1633	171
NM_019856	MYOM1	37	1012	32	773	25	2232	243
NM_003803	MYOM1	38	1016	32	773	25	2238	245
NM_004010	DMD	79	1357	28	1283	186	5657	1010
NM_004009	DMD	79	1357	28	1283	186	5666	1010
NM_000109	DMD	79	1352	28	1282	186	5618	1009
NM_144573	NEXN	13	361	11	501	20	2639	546
NM_205853	MUSTN1	3	150	4	373	14	994	187
NM_031426	AIF1L	6	719	23	1193	229	1173	89
NM_173054	RELN	64	172	13	101	14	535	56
NM_005045	RELN	65	172	13	101	14	535	56
NM_001034957	SORBS1	22	680	22	416	60	2356	328
NM_001030060	SAMD5	2	520	3	559	167	335	36
NM_006252	PRKAA2	9	463	15	470	42	2677	314
NM_201631	TGM5	13	313	10	201	179	188	15
NM_024991	SORBS1	26	691	22	429	63	2424	333
NM_007177	FAM107A	5	196	6	87	45	319	18
NM_001076778	FAM107A	4	193	6	87	45	319	18
NM_006434	SORBS1	21	668	22	406	60	2323	321
NM_001076682	NCAM1	19	187	6	223	4	1677	288
NM_006895	HNMT	6	107	3	321	40	342	69
NM_139212	HOPX	3	1830	365	3374	510	1711	74
NM_000898	MAOB	15	74	26	164	24	172	18
NM_032495	HOPX	4	1879	388	3441	524	1763	74
NM_016321	RHCG	11	8518	1012	16167	2468	7605	820
NM_139211	HOPX	3	1800	357	3322	508	1703	76
NM_012298	CAND2	13	195	15	189	9	690	78
NM_004731	SLC16A7	5	337	12	261	168	752	76
NM_020480	ANK1	3	162	78	233	35	467	50
NM_004274	AKAP6	14	879	33	502	142	7795	821
NM_001034954	SORBS1	31	851	32	504	70	3096	408
NM_004245	TGM5	12	283	10	192	160	181	15
NM_001058	TACR1	5	115	0	50	7	68	14
NM_004657	SDPR	2	213	19	312	48	447	38
NM_001034956	SORBS1	28	710	28	430	60	2499	344
NM_031948	PRSS27	6	684	27	416	89	578	29
NM_139345	BIN1	16	627	128	526	77	5009	586
NM_139344	BIN1	18	632	129	529	81	5061	590
NM_178822	IGSF10	6	264	10	220	35	724	78
NM_032608	MYO18B	44	941	107	683	42	4907	575
NM_139349	BIN1	15	625	128	526	77	4985	584
NM_139351	BIN1	13	609	128	515	75	4606	542
NM_001037339	PDE4B	10	650	25	112	72	3786	444
NM_000095	COMP	19	303	2	251	94	570	66
NM_001710	CFB	18	239	9	183	442	1458	163
NM_001034955	SORBS1	31	776	32	469	69	2735	367
NM_080737	SYTL4	19	166	6	211	33	242	29
NM_004305	BIN1	15	624	128	526	77	4917	581
NM_139350	BIN1	14	624	128	525	77	4912	581
NM_002600	PDE4B	17	634	18	106	77	3574	422
NM_001037341	PDE4B	17	634	18	106	77	3571	422
NM_001037340	PDE4B	15	634	15	106	79	3560	421
NM_000755	CRAT	14	152	24	118	16	605	71
NM_001129896	SYTL4	18	162	6	214	33	247	29
NM_153703	PODN	11	506	21	325	54	1644	170
NM_203371	FIBIN	1	109	2	54	8	576	115
NM_001114106	SLC44A3	15	56	1	60	9	105	36
NM_001937	DPT	4	292	12	332	32	1129	151
NM_001080437	SNED1	32	788	34	345	159	2753	150
NM_001003818	TRIM6	8	66	2	71	9	28	82
NM_015385	SORBS1	25	730	32	436	72	2549	341
NM_004100	EYA4	20	65	2	69	10	235	42
NM_172103	EYA4	19	65	2	69	10	232	42
NM_002126	HLF	4	520	23	765	479	377	31
NM_024870	PREX2	40	299	13	338	26	1008	218
NM_020811	ATPGD1	9	84	3	124	28	546	33
NM_139346	BIN1	16	668	142	535	91	5076	603
NM_139347	BIN1	16	669	142	535	91	5144	606
NM_005161	APLNR	1	201	26	401	68	2798	222
NM_003991	EDNRB	7	63	2	49	9	541	40
NM_006006	ZBTB16	7	84	6	54	4	805	97
NM_004816	C9orf61	11	105	4	168	33	250	29
NM_172105	EYA4	20	62	2	69	10	245	36
NM_001127608	C9orf61	11	104	4	168	33	250	29
NM_152487	TMEM56	7	82	3	172	12	157	39
NM_139348	BIN1	15	668	142	534	91	5071	603
NM_005656	TMPRSS2	14	123	6	399	44	137	16
NM_207361	FREM2	24	211	0	312	1136	1224	150
NM_001795	CDH5	12	330	76	322	55	2578	281
NM_001128310	SPARCL1	12	820	39	939	132	2786	628
NM_004684	SPARCL1	11	820	39	938	132	2775	627
NM_001014450	SPRR2F	2	113	67	159	27	586	44
NM_001018011	ZBTB16	7	84	5	54	4	785	97
NM_173648	CCDC141	13	64	3	73	12	407	27
NM_003042	SLC6A1	16	411	32	123	21	271	22
NM_005159	ACTC1	7	704	34	1587	22	6425	1120
NM_003480	MFAP5	10	127	25	188	21	1290	161
NM_198582	KLHL30	7	146	0	141	141	1152	143
NM_139343	BIN1	19	676	143	538	95	5220	612
NM_152369	SLC44A3	14	58	1	55	9	93	34
NM_080826	C20orf82	6	71	10	120	4	246	30
NM_001003760	KLHL31	3	253	12	636	33	1751	296
NM_080283	ABCA9	39	250	7	244	43	918	126
NM_001099772	CYP4B1	12	124	94	110	19	55	3
NM_000779	CYP4B1	12	124	94	110	19	55	3
NM_024582	FAT4	17	962	54	623	103	3425	434
NM_000104	CYP1B1	3	463	23	181	194	3262	289
NM_016841	MAPT	9	289	14	190	10	557	104
NM_016834	MAPT	10	289	14	190	10	558	104
NM_058166	TRIM6	8	57	2	71	9	28	81
NM_003734	AOC3	4	161	20	186	33	1075	73
NM_000092	COL4A4	48	85	38	153	13	750	96
NM_017549	EPDR1	3	74	23	157	17	505	64
NM_006209	ENPP2	26	97	4	195	35	866	163
NM_000064	C3	41	2587	136	1731	512	10722	1380
NM_006194	PAX9	5	1434	60	1472	470	1174	150
NM_003243	TGFBR3	17	703	63	735	134	1436	75
NM_144994	ANKRD23	9	3341	177	1398	132	5677	1293
NM_022159	ELTD1	15	244	12	198	31	911	179
NM_001040272	ADAMTSL1	29	55	2	88	19	367	33
NM_198827	GPR133	25	157	8	129	23	629	50
NM_001130863	ENPP2	26	92	4	193	35	865	160
NM_020778	ALPK3	14	962	32	678	142	7739	1000
NM_001819	CHGB	5	87	13	90	16	3175	242
NM_022307	ICA1	14	54	0	73	13	123	28
NM_000186	CFH	22	1082	30	916	175	2546	608
NM_003245	TGM3	13	25839	1503	23212	4477	12766	64
NM_198578	LRRK2	51	610	25	658	126	1592	277
NM_001040092	ENPP2	25	90	4	193	35	865	160
NM_021110	COL14A1	48	1536	96	1684	329	6828	621
NM_014880	CD302	6	231	11	197	38	652	143
NM_000777	CYP3A5	13	194	5	568	111	67	22
NM_006614	CHL1	28	748	154	1096	217	619	10
NM_001423	EMP1	5	12389	2293	22143	1927	16890	2250
NM_016835	MAPT	14	314	17	209	12	622	118
NM_001123066	MAPT	15	314	17	209	12	622	118
NM_012446	SSBP2	17	142	5	211	42	321	108
NM_002477	MYL5	7	71	0	136	27	121	63
NM_199511	CCDC80	8	1291	102	1190	244	10637	938
NM_002206	ITGA7	25	860	136	924	166	6722	911
NM_014033	METTL7A	2	716	144	1005	142	1337	181
NM_139125	MASP1	11	57	1	54	25	683	92
NM_199512	CCDC80	8	1143	91	1006	208	9628	809
NR_003062	SPRR2C	2	161	41	192	39	204	5
NM_032961	PCDH10	5	67	3	66	25	69	0
NM_000423	KRT2	9	87	32	89	4	79	10
NM_001131005	MEF2C	11	1113	65	2206	87	6772	1279
NM_145728	SYNM	4	1236	74	776	100	4754	864
NM_020433	JPH2	6	411	24	185	38	1807	286
NM_144632	TMEM182	5	184	36	289	61	652	88
NM_000722	CACNA2D1	39	278	16	386	179	1293	160
NM_001080952	PLAGL1	7	397	22	867	185	1064	184
NM_021219	JAM2	10	85	8	82	4	243	33
NM_012317	LDOC1	1	81	4	74	65	106	8
NM_001126132	TNNT1	14	1538	94	1825	226	4433	772
NM_001126133	TNNT1	13	1538	94	1814	226	4428	771
NM_015286	SYNM	5	1220	74	758	97	4556	822
NM_001123067	MAPT	11	291	17	195	10	572	111
NM_005910	MAPT	12	291	17	195	10	572	112
NM_001080953	PLAGL1	7	395	22	833	179	1040	183
NM_006718	PLAGL1	7	397	22	866	185	1057	184
NM_014644	PDE4DIP	44	3363	207	2620	401	14733	2622
NM_003283	TNNT1	14	1538	96	1828	226	4437	774
NR_003221	SNORD114-28	1	152	50	1394	302	1733	208
NM_001040114	MYH11	42	428	32	468	49	1271	180
NM_001040113	MYH11	43	428	32	468	49	1272	180
NM_002474	MYH11	41	428	32	468	49	1271	180
NM_022844	MYH11	42	428	32	468	49	1272	180
NM_001400	S1PR1	2	250	23	176	25	1175	166
NM_004012	DMD	51	704	26	768	168	3106	643
NM_004011	DMD	51	704	26	768	168	3106	643
NM_001963	EGF	24	245	1	104	22	398	66
NM_000961	PTGIS	10	187	11	136	34	3314	121
NM_022664	ECM1	9	2710	175	6945	1172	2251	527
NM_006274	CCL19	4	196	3	35	49	271	38
NM_021111	RECK	21	134	5	132	31	646	92
NM_019000	FAM134B	7	145	12	277	61	1593	186
NM_001080954	PLAGL1	7	392	22	831	184	1040	183
NM_001080951	PLAGL1	8	391	21	854	189	1049	183
NM_017650	PPP1R9A	16	99	13	85	3	275	39
NM_015198	COBL	13	301	19	232	79	411	43
NM_001100829	TMEM170B	3	98	13	150	33	655	79
NM_005358	LMO7	30	1700	344	2412	545	5503	634
NM_153225	RPESP	5	82	1	150	33	74	24
NM_014945	ABLIM3	24	350	27	482	90	1676	243
NM_005069	SIM2	11	754	33	717	162	341	167
NM_153267	MAMDC2	14	147	9	987	73	511	119
NR_022011	PAR-SN	1	125	4	1464	331	572	249
NM_022783	DEPDC6	9	269	2	477	108	598	104
NM_004363	CEACAM5	10	695	46	283	129	441	7
NM_001128209	SGCD	8	455	30	647	36	4481	748
NR_001293	SNORD107	1	58	3	1408	288	381	178
NM_001013661	VSIG8	7	397	26	128	87	468	18
NM_002397	MEF2C	11	1110	75	2196	91	6797	1303
NM_182799	EGFLAM	12	70	33	63	9	357	52
NM_017655	GIPC2	6	73	3	80	24	107	15
NM_016563	RASL12	5	121	25	98	22	578	56
NM_018400	SCN3B	6	59	3	68	15	280	49
NM_001040151	SCN3B	7	59	3	68	15	273	48
NM_001135823	SSPN	3	302	20	382	67	802	597
NM_138711	PPARG	8	71	4	113	32	208	2
NM_001085049	MRAS	6	195	28	233	42	1631	242
NM_012219	MRAS	6	197	27	232	45	1644	244
NM_020427	SLURP1	3	817	56	317	110	863	10
NM_000337	SGCD	9	455	31	657	37	4499	752
NM_139165	RAET1E	4	184	12	143	30	142	22
NM_015642	ZBTB20	10	214	10	211	49	789	236
NM_020247	CABC1	15	712	105	539	126	2487	334
NM_020802	KIAA1377	11	66	2	88	20	192	72
NM_001033723	ZNF704	9	221	11	220	51	394	273
NM_001002812	PDE4DIP	23	1997	140	1480	317	8175	1731
NM_012193	FZD4	2	596	68	466	110	3285	462
NM_003102	SOD3	2	265	18	132	232	796	73
NM_138712	PPARG	8	69	4	111	32	199	2
NM_000163	GHR	10	100	5	108	25	138	91
NM_001093	ACACB	52	628	14	447	172	2228	338
NM_006287	TFPI	8	250	46	215	47	1025	155
NM_033512	TSPYL5	1	138	4	95	22	478	106
NM_024636	STEAP4	5	652	18	370	88	2775	1321
NM_130393	PTPRD	40	69	2	80	1335	404	61
NM_001040712	PTPRD	40	69	2	80	1335	404	61
NM_004425	ECM1	10	3001	219	7278	1413	2513	637
NM_006682	FGL2	2	432	31	521	76	1018	294
NM_032279	ATP13A4	30	445	69	456	111	463	1
NM_002656	PLAGL1	6	299	20	698	170	825	145
NM_005086	SSPN	3	323	23	415	71	826	629
NM_020911	PLXNA4	32	122	5	91	47	632	97
NM_001025109	CD34	8	576	122	589	67	2294	356
NM_002475	MYL6B	8	257	40	348	43	1237	191
NM_015869	PPARG	7	66	4	110	32	196	2
NM_054111	IHPK3	6	198	14	86	24	1589	131
NM_015184	PLCL2	6	132	9	134	52	739	93
NM_016260	IKZF2	8	1246	93	1629	348	1562	600
NM_152263	TPM3	10	2144	162	1574	268	3054	787
NM_001080956	PLAGL1	6	297	20	664	164	801	144
NM_000700	ANXA1	13	34397	2605	46239	9950	26307	9141
NM_021196	SLC4A5	26	42	62	59	14	74	10
NM_178034	PLA2G4D	20	269	194	186	46	626	96
NM_001080955	PLAGL1	6	291	19	653	163	800	142
NM_015981	CAMK2A	19	221	16	219	20	499	175
NM_152795	HIF3A	15	51	3	102	716	167	6
NM_152794	HIF3A	15	51	3	102	716	167	6
NM_022462	HIF3A	15	51	3	102	717	168	6
NM_005037	PPARG	7	64	4	104	32	187	2
NM_001010846	SHE	6	157	25	102	25	927	82
NM_198148	CPXM2	14	318	44	193	48	1218	177
NR_003216	SNORD114-23	1	321	145	2745	593	1932	301
NM_024913	C7orf58	23	160	0	153	164	563	88
