SampleID,Tissue ,Factor,Replicate,bamReads,Peaks
MCF7_GATA3_1,MCF7,GATA3,1,MCF7_GATA3_Myers_Rep1.bam,MCF7_GATA3_Myers_Rep1.bed
MCF7_GATA3_2,MCF7,GATA3,2,MCF7_GATA3_Myers_Rep2.bam,MCF7_GATA3_Myers_Rep2.bed
MCF7_CTCF_2,MCF7,CTCF,2,MCF7_CTCF_Myers_Rep2.bam,MCF7_CTCF_Myers_Rep2.bed
MCF7_CTCF_1,MCF7,CTCF,1,MCF7_CTCF_Myers_Rep1.bam,MCF7_CTCF_Myers_Rep1.bed
A549_GATA3_1,A549,GATA3,1,A549_GATA3_Myers_Rep1.bam,A549_GATA3_Myers_Rep1.bed
A549_GATA3_2,A549,GATA3,2,A549_GATA3_Myers_Rep2.bam,A549_GATA3_Myers_Rep2.bed
A549_CTCF_1,A549,CTCF,1,A549_CTCF_Myers_Rep1.bam,A549_CTCF_Myers_Rep1.bed
A549_CTCF_2,A549,CTCF,2,A549_CTCF_Myers_Rep2.bam,A549_CTCF_Myers_Rep2.bed
